car,price,expirience,carAge,gender,ownershipType,vehicleClass,annualMileage,frequencyLevel
29,0.491,2,4.33,0,0,0,15.57,0
31,1.789,23,1.14,1,0,0,39.39,2
29,1.189,2,2.16,0,0,0,40.66,0
33,1.168,21,3.44,1,0,0,38.89,2
3,0.766,1,2.14,1,0,2,47.78,0
10,2.041,18,9.19,0,0,0,15.83,2
83,1.927,6,9.41,1,0,2,21.29,2
3,0.372,21,0.51,1,1,2,5.19,2
33,1.542,2,3.78,0,0,2,106.50,0
86,1.253,5,1.78,0,0,0,3.75,2
56,1.228,26,3.28,1,0,2,21.59,2
49,1.055,8,6.10,0,0,2,12.53,2
25,1.383,18,6.59,0,0,0,24.84,2
82,1.467,3,3.10,1,0,0,6.03,1
14,0.372,19,1.17,0,0,1,19.47,2
62,0.250,3,0.79,0,0,0,64.26,1
55,1.806,5,2.40,0,0,0,6.48,2
75,0.175,21,4.09,1,0,3,30.59,2
28,1.136,2,6.20,1,0,2,36.33,1
64,1.069,20,7.28,1,0,1,66.58,2
32,0.285,2,0.21,0,0,1,35.31,0
12,0.711,1,6.48,1,0,2,55.41,1
70,1.396,14,7.52,0,0,2,27.69,2
88,1.469,8,9.93,1,1,0,51.76,1
92,1.127,2,0.86,0,1,0,29.58,0
83,0.407,8,0.50,0,0,2,27.12,2
75,2.854,11,6.54,1,0,2,60.88,2
38,0.535,6,6.04,0,0,0,46.23,1
93,0.377,9,8.63,0,0,0,62.73,1
79,1.133,22,2.72,1,0,1,48.04,2
8,1.905,7,3.15,1,1,0,44.89,2
81,1.091,13,2.20,1,1,3,52.86,2
91,2.661,1,4.13,1,0,1,30.42,1
6,1.960,12,2.70,1,0,1,33.16,2
74,1.654,3,2.67,0,0,1,25.29,1
36,0.832,6,5.11,0,0,0,7.28,2
17,0.660,4,3.25,0,1,0,15.90,1
34,0.195,4,2.92,0,0,1,50.53,1
6,3.849,15,2.52,0,1,2,66.45,2
42,0.982,1,6.41,0,0,0,47.86,0
19,0.534,0,2.80,0,0,0,23.37,0
57,1.586,15,2.12,0,0,2,29.39,2
82,2.382,8,0.64,0,0,0,56.52,0
93,2.277,32,6.69,0,0,2,24.83,2
20,1.960,12,10.42,1,0,0,29.30,2
20,0.449,8,3.22,1,0,1,17.61,2
74,0.891,0,2.19,0,0,0,77.81,0
52,1.727,6,4.59,1,0,0,20.89,2
12,1.455,12,3.57,1,0,0,50.06,2
87,0.601,10,8.45,0,0,2,50.71,2
88,2.213,14,6.59,0,1,2,58.24,2
25,2.499,14,0.76,0,1,2,14.11,2
26,0.321,12,2.91,0,0,2,35.92,2
9,0.238,11,2.49,0,0,0,54.45,2
4,0.777,16,4.06,1,0,2,3.52,2
17,1.977,5,7.16,1,1,0,30.27,1
69,1.532,1,7.57,1,0,0,18.25,1
71,0.305,10,5.94,1,1,0,25.19,2
78,0.614,1,5.55,0,0,0,10.03,0
6,1.350,14,0.25,1,0,0,5.61,2
39,0.787,4,0.95,0,0,0,61.05,1
36,0.703,1,2.58,0,0,1,14.82,0
38,1.052,25,2.06,1,0,0,3.69,2
61,0.845,21,1.99,1,0,1,18.07,2
40,0.526,8,2.92,1,0,2,40.40,2
34,1.743,15,0.84,0,0,3,52.91,2
47,2.860,6,1.66,0,0,2,26.37,2
88,2.870,10,4.52,0,1,0,98.00,2
54,2.537,8,0.46,0,0,0,17.62,2
48,1.576,2,0.68,0,0,2,9.11,0
72,0.181,0,2.08,1,0,2,32.58,0
86,2.151,0,6.43,0,0,0,34.64,0
9,3.302,8,5.51,1,0,0,75.56,1
55,2.748,24,5.51,1,0,2,38.51,2
69,0.967,1,3.18,1,0,3,25.68,1
88,0.214,2,2.72,0,1,0,3.21,0
11,0.851,12,0.84,1,0,2,49.03,2
15,0.641,6,4.44,0,0,1,31.03,2
46,2.289,14,6.50,0,0,0,48.50,2
32,1.637,21,3.00,1,0,0,30.93,2
35,0.503,8,1.45,1,0,3,23.33,2
54,1.533,28,0.70,0,0,3,27.89,2
77,2.014,16,4.13,1,0,2,10.10,2
38,1.491,8,2.03,1,0,1,26.43,2
10,1.782,21,0.63,0,0,1,8.39,2
4,0.392,14,1.67,0,0,0,40.89,2
29,1.435,12,1.41,0,1,2,27.94,2
58,0.482,3,0.28,0,0,0,18.24,1
43,1.199,16,5.01,0,0,0,43.64,2
60,0.595,10,3.27,1,1,0,10.55,2
29,1.478,6,1.92,0,0,0,9.42,2
39,0.909,24,2.42,0,0,2,13.99,2
15,2.281,8,6.31,1,0,0,27.65,1
70,0.344,14,6.63,1,0,1,4.19,2
42,1.263,9,2.01,0,0,0,69.11,2
72,0.773,9,1.07,0,1,0,40.30,2
83,0.374,22,1.86,0,0,0,45.99,2
90,0.433,11,0.48,0,0,2,39.56,2
14,0.901,24,3.21,0,0,0,30.17,2
36,0.624,5,5.83,0,0,0,13.88,2
51,0.882,17,1.45,0,0,3,67.16,2
52,0.900,23,5.00,1,0,2,51.74,2
80,0.215,1,0.34,0,0,0,8.51,0
6,1.911,5,2.62,0,0,2,71.07,2
68,0.461,3,2.91,0,0,0,31.78,1
58,1.690,16,7.29,0,0,0,20.64,2
54,0.407,2,0.62,1,0,0,67.84,0
64,0.998,7,1.49,0,0,1,20.82,2
64,1.089,16,6.48,0,0,0,26.30,2
14,0.630,7,1.61,1,0,0,57.01,2
87,1.978,7,8.09,0,1,2,85.98,1
3,0.964,6,5.88,1,0,0,6.27,2
44,2.622,18,3.60,0,0,3,48.55,2
74,0.973,17,1.32,0,0,1,94.90,2
40,1.928,4,4.57,0,0,0,32.23,1
25,0.812,16,4.74,0,0,0,33.97,2
67,0.645,6,0.22,0,0,0,26.26,2
51,1.241,11,6.44,1,0,0,54.27,2
70,0.198,11,0.70,0,0,2,50.50,2
80,1.516,5,6.40,1,0,0,40.69,1
60,0.281,8,0.30,1,0,0,14.86,2
33,0.502,12,0.13,0,0,1,21.40,2
21,3.038,10,0.88,0,0,1,61.02,2
10,1.426,7,3.90,0,1,0,19.40,2
40,2.918,19,2.73,1,0,0,4.29,2
87,2.741,8,1.49,0,0,0,21.17,2
89,0.901,10,1.28,0,0,2,18.16,2
1,2.888,13,7.46,0,0,0,32.93,2
49,0.199,13,3.51,0,0,0,22.43,2
58,2.004,11,1.28,0,0,0,47.40,2
52,0.998,3,6.56,0,0,0,29.44,1
47,0.852,4,1.51,0,0,1,20.60,1
19,0.729,9,1.06,1,0,0,16.12,2
30,2.282,15,7.52,0,0,3,26.32,2
53,0.817,19,4.47,0,0,0,35.13,2
18,1.163,1,6.07,0,0,2,8.29,0
69,3.360,27,6.68,0,0,2,19.07,2
43,0.855,14,1.69,0,0,0,3.53,2
15,2.465,16,0.81,1,1,1,76.42,2
58,0.920,11,3.87,1,1,0,24.01,2
35,3.417,10,0.12,1,1,1,32.07,2
33,0.858,6,1.18,0,1,1,21.92,2
13,0.205,1,3.69,0,0,0,21.34,1
2,1.616,2,4.04,0,0,0,21.42,0
1,0.573,11,5.02,0,0,0,25.37,2
79,2.505,5,2.14,0,0,1,21.55,2
21,0.569,9,5.82,1,1,2,46.95,1
51,1.224,11,0.98,0,0,1,13.13,2
69,0.685,15,9.45,0,0,1,95.15,2
13,1.341,5,1.15,0,0,0,7.44,2
65,3.139,7,4.71,0,0,2,40.05,1
84,1.007,6,1.14,0,0,3,7.88,2
61,0.652,1,0.57,0,0,2,22.85,0
40,0.495,0,7.92,0,0,1,59.87,0
9,2.598,2,0.77,0,0,2,5.70,0
49,1.985,6,1.45,0,0,0,41.72,2
68,1.412,7,3.03,1,0,1,32.41,2
77,0.921,12,6.88,1,0,0,14.34,2
21,0.516,0,0.17,0,0,0,54.81,0
77,2.347,9,6.94,0,0,1,18.79,2
46,2.533,7,5.90,0,1,2,67.30,1
82,1.826,17,3.79,0,0,3,18.06,2
17,0.706,3,6.51,0,0,2,41.58,1
70,1.100,2,3.34,0,0,1,16.27,0
17,0.760,17,2.95,0,0,0,40.16,2
46,0.610,5,3.46,1,0,0,63.47,1
77,0.539,17,5.29,1,0,3,37.51,2
9,0.545,11,6.17,0,1,0,29.54,2
73,0.469,7,5.27,0,0,0,48.93,1
34,0.234,15,1.07,0,0,0,25.26,2
78,1.532,1,1.92,0,0,2,33.55,0
25,1.595,5,3.31,0,0,0,38.30,2
1,2.547,19,7.48,0,0,3,18.71,2
61,0.701,1,3.15,1,0,2,10.80,1
39,2.953,13,2.08,0,0,0,52.55,2
86,1.955,2,3.46,0,0,3,36.05,0
48,0.908,2,3.76,1,0,0,13.50,1
30,0.856,14,2.25,0,1,0,52.72,2
21,1.139,31,3.39,0,0,3,21.58,2
74,2.368,16,4.42,0,1,0,8.77,2
70,1.359,13,3.90,0,0,1,62.99,2
14,0.486,1,1.74,1,1,1,13.32,0
78,0.646,2,0.68,0,0,2,26.73,0
31,0.345,4,7.43,1,0,0,21.08,1
14,1.102,13,2.00,1,0,1,23.87,2
48,1.274,0,6.69,1,0,2,13.36,0
52,1.973,6,2.78,0,0,0,30.51,2
75,1.933,11,1.14,0,0,2,19.73,2
76,2.346,9,4.32,0,0,2,45.17,2
22,2.437,1,3.63,1,0,3,47.82,1
60,0.533,27,7.99,0,1,2,46.01,2
85,1.910,15,6.00,0,0,1,29.39,2
93,1.164,7,2.93,0,0,1,32.40,0
15,0.179,13,1.49,1,0,3,13.29,2
58,1.709,18,6.65,0,1,0,4.02,2
7,0.608,1,1.38,0,0,3,58.59,0
86,2.876,7,3.97,0,1,0,6.09,2
65,0.737,7,4.77,0,0,0,62.54,1
91,1.010,2,4.11,0,1,3,32.87,0
84,2.103,12,3.44,0,0,1,36.30,2
48,0.558,11,6.84,0,0,0,54.39,2
67,0.369,2,2.38,0,0,0,22.37,0
79,1.150,8,2.80,1,1,0,90.28,2
32,0.553,16,0.21,0,0,0,30.40,2
13,1.328,5,1.35,0,0,1,35.23,2
90,0.168,6,4.71,0,0,2,28.42,2
82,1.075,10,3.83,0,0,2,16.80,2
16,1.910,13,4.72,1,0,1,7.32,2
33,1.450,2,0.72,1,0,0,32.15,0
73,3.096,2,5.43,0,0,2,9.28,0
39,0.207,8,1.37,0,0,2,53.01,2
18,0.894,6,2.40,0,0,2,22.01,2
74,0.649,18,2.46,1,0,2,17.82,2
62,1.452,0,4.58,0,0,2,23.53,0
13,0.324,18,6.45,0,0,0,15.65,2
81,2.383,26,5.39,0,0,1,35.62,2
82,0.416,0,4.13,0,0,2,75.66,0
27,0.153,5,0.21,0,0,2,43.18,2
17,0.536,9,2.94,0,0,0,28.18,2
66,1.344,11,0.85,0,0,1,39.35,2
57,2.243,1,8.55,0,0,0,31.26,0
8,0.348,9,4.72,0,0,2,38.23,2
89,0.926,5,1.82,0,0,0,14.58,2
38,0.192,8,0.42,0,0,2,41.64,2
24,1.107,17,8.64,1,0,2,10.94,2
42,0.815,1,1.70,0,0,2,14.43,0
44,0.308,22,4.02,0,0,2,67.10,2
60,3.031,3,4.01,0,0,2,59.99,1
64,1.039,8,3.56,1,0,2,14.98,2
21,1.866,17,1.83,0,0,0,13.14,2
11,0.195,11,4.25,0,0,0,26.39,2
31,1.521,2,1.19,0,0,0,23.33,0
59,0.675,2,0.33,0,0,0,63.11,0
76,2.638,19,2.11,1,1,3,71.35,2
11,0.739,6,1.94,0,0,0,53.49,2
49,0.426,14,2.13,1,0,1,15.23,2
27,0.544,2,3.66,0,0,2,48.19,0
28,0.474,15,0.42,0,0,0,35.17,2
46,0.818,3,2.05,0,0,0,52.64,1
85,1.802,12,0.24,0,1,0,34.99,2
38,0.684,10,6.43,0,0,0,12.85,2
10,1.295,9,2.03,0,0,2,76.58,2
29,2.032,2,4.77,0,0,0,58.26,1
86,2.024,7,4.77,0,1,0,22.33,2
91,0.213,8,1.11,0,0,2,44.66,2
50,0.656,20,1.22,0,0,2,40.86,2
89,2.648,1,1.08,0,0,0,42.28,0
67,1.907,8,0.82,0,0,2,24.71,2
11,0.764,10,2.96,0,0,2,87.44,2
16,2.976,23,0.32,1,1,0,48.68,2
38,0.974,4,3.59,0,0,0,3.91,2
88,2.845,16,4.77,1,0,1,26.63,2
56,0.873,2,3.18,0,0,0,33.46,0
11,0.722,8,3.21,0,0,0,21.42,2
48,0.470,7,2.56,0,0,3,13.29,2
74,1.495,17,0.97,1,0,2,15.05,2
29,0.787,18,0.47,1,0,0,41.02,2
22,1.583,18,2.76,0,0,0,20.11,2
94,1.874,5,4.23,0,0,0,40.18,2
48,1.252,1,0.20,0,0,3,13.84,0
22,0.286,11,3.87,0,0,2,67.00,2
85,0.780,7,3.29,1,1,0,60.61,1
0,0.307,16,3.61,1,0,3,63.03,2
0,1.373,14,3.20,0,0,0,33.94,2
50,1.758,1,4.43,1,0,2,60.34,0
48,1.406,18,1.67,0,0,0,22.55,2
35,0.500,4,8.23,1,0,0,56.28,1
34,0.267,2,5.64,0,0,1,43.22,0
58,0.760,1,5.92,1,0,0,10.56,1
24,1.022,16,0.32,0,1,1,59.71,2
27,0.165,11,0.74,0,0,0,20.44,2
